Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Hour_of_day,Is_night,Is_rush_hour,Is_weekend
Friday,18-30,Male,Junior high school,Employee,Above 10yr,Unknown,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Crossing from driver's nearside,No distancing,18,0,1,0
Wednesday,18-30,Male,Junior high school,Owner,2-5yr,Taxi,Owner,5-10yrs,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Reversing,Not a Pedestrian,No distancing,20,1,0,0
Saturday,18-30,Male,Junior high school,Employee,Above 10yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Other,Not a Pedestrian,No priority to vehicle,13,0,0,1
Tuesday,Under 18,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Not a Pedestrian,Driving carelessly,16,0,0,0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,5-10yrs,No defect,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Changing lane to the left,10,0,0,0
Thursday,Unknown,Male,Junior high school,Employee,Below 1yr,Automobile,Organization,Unknown,Unknown,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Not a Pedestrian,Driving at high speed,14,0,0,0
Friday,18-30,Male,Elementary school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overturning,16,0,0,0
Wednesday,18-30,Male,Unknown,Unknown,Unknown,Pick up upto 10Q,Governmental,Unknown,No defect,School areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,14,0,0,0
Thursday,31-50,Male,Elementary school,Employee,Below 1yr,Stationwagen,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Overspeed,15,0,0,0
Wednesday,18-30,Male,Unknown,Unknown,Unknown,Other,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Stopping,Not a Pedestrian,Changing lane to the left,19,0,1,0
Thursday,31-50,Male,Elementary school,Owner,Above 10yr,Stationwagen,Owner,Unknown,No defect,Office areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,18,0,1,0
Thursday,18-30,Male,High school,Employee,Unknown,Taxi,Owner,Unknown,No defect,Recreational areas,One way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No priority to pedestrian,21,1,0,0
Friday,Under 18,Male,Above high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to vehicle,8,0,1,0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Other,Organization,2-5yrs,Unknown,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Unknown,Not a Pedestrian,Changing lane to the right,22,1,0,0
Tuesday,Over 51,Male,High school,Employee,1-2yr,Public (13?45 seats),Owner,1-2yr,No defect,Industrial areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Overtaking,22,1,0,0
Monday,18-30,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Turnover,Not a Pedestrian,Changing lane to the right,18,0,1,0
Saturday,Over 51,Male,Junior high school,Employee,Above 10yr,Ridden horse,Owner,Above 10yr,No defect,Office areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Driving carelessly,17,0,1,1
Tuesday,Unknown,Male,Elementary school,Employee,Unknown,Automobile,Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Other,Crossing from driver's nearside,Changing lane to the right,16,0,0,0
Monday,18-30,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Reversing,Not a Pedestrian,No priority to vehicle,12,0,0,0
Monday,31-50,Male,Junior high school,Owner,5-10yr,Other,Governmental,2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with pedestrians,2,1,Moving Backward,Not a Pedestrian,No priority to vehicle,19,0,1,0
Friday,18-30,Male,Junior high school,Employee,Unknown,Automobile,Governmental,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Driving to the left,7,0,1,0
Wednesday,Unknown,Female,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,9,0,1,0
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,9,0,1,1
Monday,18-30,Female,Junior high school,Employee,Below 1yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Not a Pedestrian,Driving under the influence of drugs,11,0,0,0
Friday,31-50,Male,Unknown,Unknown,Unknown,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,11,0,0,0
Thursday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Above 10yr,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,8,0,1,0
Thursday,Over 51,Male,Unknown,Owner,5-10yr,Pick up upto 10Q,Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Other,Vehicle with vehicle collision,2,4,Going straight,Not a Pedestrian,Changing lane to the left,14,0,0,0
Tuesday,18-30,Male,High school,Employee,Below 1yr,Long lorry,Owner,Above 10yr,No defect,Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Moving Backward,7,0,1,0
Friday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,1-2yr,No defect,Residential areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving at high speed,10,0,0,0
Tuesday,Unknown,Male,Elementary school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Windy,Vehicle with vehicle collision,2,2,Getting off,Not a Pedestrian,Changing lane to the left,3,1,0,0
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Driving carelessly,18,0,1,0
Sunday,31-50,Female,Unknown,Employee,Unknown,Lorry (41?100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Not a Pedestrian,Changing lane to the left,0,1,0,1
Wednesday,Unknown,Male,Junior high school,Employee,1-2yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Other,Not a Pedestrian,Moving Backward,9,0,1,0
Sunday,18-30,Male,Junior high school,Employee,Below 1yr,Public (> 45 seats),Owner,Unknown,No defect,School areas,Unknown,Tangent road with flat terrain,Unknown,Unknown,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,11,0,0,1
Wednesday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,3,2,Going straight,Not a Pedestrian,Overtaking,8,0,1,0
Tuesday,Over 51,Male,Junior high school,Employee,5-10yr,Stationwagen,Owner,Unknown,No defect,Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the left,8,0,1,0
Monday,31-50,Male,Elementary school,Employee,Above 10yr,Motorcycle,Owner,Unknown,No defect,Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Not a Pedestrian,Changing lane to the left,17,0,1,0
Wednesday,18-30,Male,Elementary school,Owner,Unknown,Automobile,Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Not a Pedestrian,No distancing,11,0,0,0
Thursday,Over 51,Male,Elementary school,Employee,5-10yr,Long lorry,Unknown,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Not a Pedestrian,Driving to the left,16,0,0,0
Friday,31-50,Male,Above high school,Employee,5-10yr,Special vehicle,Owner,Unknown,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,T Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,Unknown or other,Changing lane to the left,11,0,0,0
Saturday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,No defect,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,Changing lane to the right,23,1,0,1
Tuesday,Unknown,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,No distancing,11,0,0,0
Friday,Unknown,Female,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,5-10yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Not a Pedestrian,Changing lane to the right,16,0,0,0
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Not a Pedestrian,Changing lane to the right,17,0,1,0
Thursday,18-30,Male,High school,Employee,Above 10yr,Motorcycle,Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,2,Other,Not a Pedestrian,No distancing,7,0,1,0
Wednesday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,9,0,1,0
Tuesday,Unknown,Male,Junior high school,Owner,2-5yr,Lorry (41?100Q),Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Not a Pedestrian,Overtaking,8,0,1,0
Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Sharp reverse curve,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,21,1,0,0
Friday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,2-5yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Not a Pedestrian,Changing lane to the right,14,0,0,0
Friday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,1,Going straight,Not a Pedestrian,Changing lane to the left,18,0,1,0
Thursday,31-50,Male,Elementary school,Employee,2-5yr,Automobile,Organization,2-5yrs,Unknown,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,Changing lane to the right,18,0,1,0
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Taxi,Owner,Unknown,Unknown,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,18,0,1,0
Wednesday,Unknown,Male,High school,Owner,5-10yr,Pick up upto 10Q,Owner,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No priority to pedestrian,7,0,1,0
Friday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Overturning,5,1,0,0
Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,1-2yr,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Not a Pedestrian,Overtaking,16,0,0,0
Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Unknown,Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Turnover,Crossing from driver's nearside,Moving Backward,18,0,1,0
Friday,31-50,Male,Elementary school,Owner,Above 10yr,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Collision with pedestrians,2,1,Going straight,Not a Pedestrian,Changing lane to the left,15,0,0,0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Not a Pedestrian,No priority to vehicle,7,0,1,0
Monday,31-50,Male,Junior high school,Owner,5-10yr,Unknown,Organization,5-10yrs,No defect,Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Driving under the influence of drugs,14,0,0,0
Friday,31-50,Male,Junior high school,Employee,2-5yr,Public (> 45 seats),Owner,Unknown,No defect,Recreational areas,other,Unknown,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Other,Not a Pedestrian,Improper parking,13,0,0,0
Monday,Over 51,Male,Elementary school,Employee,1-2yr,Unknown,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,Changing lane to the right,14,0,0,0
Monday,Over 51,Male,High school,Owner,Above 10yr,Automobile,Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,8,0,1,0
Friday,31-50,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Not a Pedestrian,No distancing,17,0,1,0
Tuesday,Over 51,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,7,0,1,0
Saturday,Unknown,Female,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,15,0,0,1
Friday,31-50,Male,Writing & reading,Employee,2-5yr,Lorry (11?40Q),Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,4,1,Going straight,Not a Pedestrian,Driving under the influence of drugs,21,1,0,0
Sunday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Other,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Driving under the influence of drugs,3,1,0,1
Tuesday,Over 51,Male,Junior high school,Owner,5-10yr,Unknown,Owner,Unknown,Unknown,Unknown,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No priority to pedestrian,10,0,0,0
Monday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,21,1,0,0
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Other,Governmental,Unknown,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,15,0,0,0
Sunday,18-30,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Church areas,Double carriageway (median),Tangent road with flat terrain,O Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,11,0,0,1
Saturday,Unknown,Male,Junior high school,Employee,Above 10yr,Other,Governmental,2-5yrs,Unknown,Residential areas,Two-way (divided with broken lines road marking),Unknown,No junction,Asphalt roads,Dry,Darkness - lights lit,Unknown,Collision with roadside objects,2,2,Unknown,Not a Pedestrian,Driving carelessly,21,1,0,1
Saturday,18-30,Male,High school,Employee,1-2yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,Changing lane to the left,11,0,0,1
Sunday,18-30,Male,Elementary school,Employee,2-5yr,Unknown,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Changing lane to the right,18,0,1,1
Wednesday,Unknown,Male,Junior high school,Employee,2-5yr,Stationwagen,Governmental,2-5yrs,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,4,1,Going straight,Not a Pedestrian,Getting off the vehicle improperly,13,0,0,0
Wednesday,31-50,Male,Junior high school,Owner,Below 1yr,Unknown,Owner,Below 1yr,Unknown,Other,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Not a Pedestrian,No distancing,0,1,0,0
Saturday,Unknown,Male,Unknown,Unknown,Unknown,Public (> 45 seats),Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Unknown,Not a Pedestrian,Changing lane to the left,23,1,0,1
Wednesday,Unknown,Female,Illiterate,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,16,0,0,0
Thursday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,Unknown,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Not a Pedestrian,No priority to vehicle,23,1,0,0
Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Stationwagen,Owner,Unknown,No defect,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Not a Pedestrian,Overtaking,9,0,1,0
Thursday,18-30,Male,Writing & reading,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Recreational areas,other,Unknown,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,3,2,Entering a junction,Not a Pedestrian,Other,12,0,0,0
Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,Overloading,16,0,0,0
Sunday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Unknown,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,No distancing,11,0,0,1
Wednesday,Over 51,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,Unknown,Office areas,Unknown,Tangent road with flat terrain,Other,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the right,6,0,0,0
Monday,Over 51,Male,Unknown,Owner,Above 10yr,Stationwagen,Owner,Above 10yr,No defect,Other,other,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Not a Pedestrian,Changing lane to the left,18,0,1,0
Tuesday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Moving Backward,16,0,0,0
Sunday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Owner,Unknown,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Unknown,Not a Pedestrian,Driving carelessly,13,0,0,1
Thursday,Over 51,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,Driving carelessly,10,0,0,0
Saturday,Over 51,Male,High school,Employee,Below 1yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Not a Pedestrian,Changing lane to the right,11,0,0,1
Saturday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,Unknown,Office areas,Unknown,Tangent road with flat terrain,Crossing,Unknown,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Not a Pedestrian,No distancing,17,0,1,1
