Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Hour_of_day,Is_night,Is_rush_hour,Is_weekend
Friday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Moving Backward,Not a Pedestrian,Driving under the influence of drugs,10,0,0,0
Friday,18-30,Female,High school,Employee,Above 10yr,Automobile,Owner,Unknown,Unknown,Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,12,0,0,0
Monday,Under 18,Male,Junior high school,Owner,2-5yr,Motorcycle,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Other,Collision with roadside objects,1,2,Other,Not a Pedestrian,Changing lane to the left,0,1,0,0
Monday,Unknown,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Unknown,Dry,Daylight,Unknown,Rollover,3,4,Going straight,Not a Pedestrian,No distancing,9,0,1,0
Friday,31-50,Male,Unknown,Employee,Unknown,Public (13?45 seats),Owner,2-5yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Changing lane to the left,14,0,0,0
Saturday,Unknown,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Not a Pedestrian,No distancing,9,0,1,1
Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Unknown,No defect,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Other,2,2,Getting off,Not a Pedestrian,Moving Backward,17,0,1,0
Saturday,18-30,Unknown,Junior high school,Employee,1-2yr,Long lorry,Owner,1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Unknown,3,1,Going straight,Not a Pedestrian,Changing lane to the right,14,0,0,1
Friday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Organization,Unknown,Unknown,Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Not a Pedestrian,Other,20,1,0,0
Saturday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,14,0,0,1
